Start,1
"[0, 12, 24, 28, 33]",ʒ
"[9, 21, 24, 30, 40]",ʓ
"[9, 21, 24, 30, 38]",ʔ
"[9, 21, 24, 30, 33]",ʕ
"[7, 19, 23, 29, 31]",ʖ
"[7, 19, 23, 29, 33]",ʗ
"[12, 24, 28, 40]",ʘ
"[9, 21, 25, 31, 40]",ʙ
"[9, 21, 25, 31, 41]",ʚ
"[2, 14, 21, 29, 40]",ʛ
"[2, 14, 21, 29, 38]",ʜ
"[2, 14, 26, 29, 33]",ʝ
1.166666667,ʞ
19/3,ʟ
"[7, 19]",ʠ
"[5, 12, 19, 23]",ʡ
"[7, 12, 19, 23]",ʢ
"[9, 12, 17, 21]",ʣ
"[11, 14, 17, 21]",ʤ
"[-1, 7, 12, 16]",ʥ
"[-3, 12, 14, 18]",ʦ
"[-3, 12, 14, 19]",ʧ
"[-1, 14, 17, 19]",ʨ
"[4, 10, 12]",ʩ
"[6, 12, 14]",ʪ
"[7, 11, 14, 23]",ʫ
"[5, 14, 19, 23]",ʬ
"[-1, 7]",ʭ
"[-3, 4, 7, 12]",ʮ
"[-5, 7]",ʯ
"[-7, 0, 5, 7]",ʰ
"[-10, 5]",ʱ
"[-10, 7]",ʲ
"[-5, 0, 7]",ʳ
"[-8, 4, 7, 12]",ʴ
"[-10, 12]",ʵ
"[-8, 4, 7, 14]",ʶ
"[-12, 16]",ʷ
"[-7, 2, 7, 11]",ʸ
"[-8, 7]",ʹ
[-10],ʺ
"[-12, 7]",ʻ
"[-3, 0, 7]",ʼ
"[-3, 7]",ʽ
[-3],ʾ
"[-5, 7, 12, 14]",ʿ
"[-17, 5, 11, 14]",ˀ
"[2, 5, 17, 21]",ˁ
"[0, 5, 16, 21]",˂
"[0, 16]",˃
"[-1, 7, 14, 19]",˄
"[-3, 9, 12, 17]",˅
"[0, 9, 12, 16]",ˆ
"[-5, 11, 14]",ˇ
"[0, 11, 16, 19]",ˈ
[11],ˉ
"[2, 9, 17, 26]",ˊ
"[2, 11, 17, 26]",ˋ
"[0, 12, 16, 28]",ˌ
"[5, 12, 21, 24]",ˍ
"[4, 19]",ˎ
"[2, 12, 17, 29]",ˏ
"[2, 11, 17, 29]",ː
"[4, 12, 19, 28]",ˑ
"[5, 12, 19, 28]",˒
"[7, 11, 19, 26]",˓
"[9, 12, 16, 24]",˔
"[5, 14, 21, 24]",˕
"[0, 16, 19, 24]",˖
"[0, 7, 15, 19]",˗
"[0, 7, 12, 15]",˘
"[0, 3, 12]",˙
"[-5, 7, 11, 15]",˚
"[-2, 10, 14, 17]",˛
"[3, 10, 15, 19]",˜
"[7, 15, 22]",˝
"[5, 8, 14, 20]",˞
"[5, 8, 12, 17]",˟
"[5, 8, 12, 19]",ˠ
"[7, 12, 15]",ˡ
"[-2, 5, 10, 14]",ˢ
"[-2, 8, 10, 17]",ˣ
"[3, 7, 10, 15]",ˤ
"[3, 7, 10]",˥
"[-4, 3, 12, 15]",˦
"[-4, 3, 8, 12]",˧
"[-9, 3, 7, 10, 15]",˨
"[-4, 12, 15, 20]",˩
"[0, 12, 23, 24, 28]",˪
"[12, 23]",˫
"[0, 12, 21, 24, 29]",ˬ
"[7, 19, 24, 31, 36]",˭
"[5, 17, 24]",ˮ
"[5, 33, 36]",˯
"[5, 29, 33, 36]",˰
"[4, 24, 31]",˱
"[4, 16, 19, 31]",˲
"[11, 19, 24, 28, 31]",˳
"[-1, 11, 19, 26, 31]",˴
"[-1, 11, 19, 26, 29]",˵
"[-1, 24, 26, 28, 29]",˶
"[12, 19]",˷
"[7, 19, 26]",˸
"[7, 19, 31]",˹
"[7, 19, 24, 28, 36]",˺
"[7, 19, 24, 28, 31]",˻
"[7, 28, 31]",˼
"[7, 19, 31, 40]",˽
"[7, 9, 21, 29, 35, 36]",˾
"[7, 19, 24, 28, 35]",˿
"[17, 19, 24, 28, 29, 33, 35]",̀
"[5, 31]",́
"[4, 16, 22, 24, 31]",̂
"[4, 5, 16, 17, 21, 26, 29, 31]",̃
"[7, 19, 28]",̄
"[7, 19, 21, 28]",̅
"[19, 21, 28]",̆
"[-5, 7, 17, 19, 21, 23, 26, 28]",̇
"[-5, 7, 17, 19, 23, 26]",̈
"[0, 24]",̉
"[0, 12, 23]",̊
"[7, 23, 38]",̋
"[7, 19, 31, 36]",̌
"[7, 19, 24, 36]",̍
"[7, 19, 24, 26]",̎
"[12, 24, 29, 35]",̏
"[0, 12, 21]",̐
2.333333333,̑
"[7, 19, 23, 29]",̒
"[7, 19, 24, 29]",̓
"[19, 24, 28, 31, 36]",̔
"[19, 23, 29, 38]",̕
"[19, 28, 36]",̖
1.333333333,̗
"[4, 16, 31]",̘
"[7, 29, 35]",̙
"[5, 24, 29, 31, 33]",̚
"[16, 19, 24, 28, 31]",̛
"[0, 11, 12, 19, 31]",̜
"[-1, 12, 19, 24, 26, 28]",̝
"[0, 7, 19, 23, 26]",̞
"[5, 17, 21]",̟
"[11, 19, 26, 29]",̠
"[12, 19, 28, 31]",̡
"[0, 4, 16, 24, 31, 36]",̢
"[19, 31, 38]",̣
"[7, 19, 23, 24, 31, 36]",̤
"[19, 26, 35]",̥
"[5, 17, 24, 33]",̦
"[5, 17, 24, 29, 33, 36]",̧
"[24, 31]",̨
"[0, 4, 12, 16, 19, 24, 28, 31]",̩
"[11, 19, 31]",̪
"[0, 7, 23, 26]",̫
"[7, 31, 35]",̬
"[7, 24, 28, 31]",̭
[36],̮
"[7, 9, 19, 21, 24, 28, 35]",̯
"[5, 17, 24, 28]",̰
"[24, 29, 31, 33]",̱
"[4, 16, 22, 24]",̲
"[4, 16, 17, 21, 26, 29]",̳
"[5, 7]",̴
"[7, 17, 19, 21, 23, 26, 28]",̵
"[-5, 24]",̶
"[0, 12, 16]",̷
43/12,̸
15/4,̹
"[7, 14, 17, 21]",̺
"[7, 14, 17, 23]",̻
"[0, 16, 19]",̼
"[5, 12, 21, 29]",̽
"[2, 12, 18, 28]",̾
"[2, 9, 18, 26]",̿
"[2, 14, 18, 21]",̀
"[2, 12, 18, 21]",́
"[0, 12, 22, 28]",͂
"[5, 12, 21, 31]",̓
"[5, 14, 21, 29]",̈́
"[5, 17, 21, 26]",ͅ
"[7, 16, 19, 24]",͆
"[7, 12, 19, 28]",͇
"[7, 11, 17, 26]",͈
"[12, 14, 19, 29]",͉
"[12, 16, 19, 31]",͊
"[12, 14, 23, 29]",͋
"[12, 16, 24, 31]",͌
"[7, 14, 19, 29]",͍
"[5, 11, 19, 26]",͎
"[4, 12, 19, 31]",͏
"[2, 11, 19, 29]",͐
"[2, 7, 14, 17]",͑
"[2, 7, 17, 21]",͒
"[-5, 7, 16, 19]",͓
"[-1, 7, 14, 17]",͔
"[-1, 7, 16, 19]",͕
"[4, 12, 16, 21]",͖
"[-1, 11, 17, 19]",͗
6,͘
"[0, 5, 7, 14, 17]",͙
"[0, 4, 7, 12, 16]",͚
"[2, 5, 7, 11, 14]",͛
"[2, 5, 7, 14, 17]",͜
"[2, 7, 9, 17, 21]",͝
"[-1, 5, 7, 14, 17]",͞
"[-3, 9, 12, 16, 24]",͟
"[-1, 8, 11, 14, 23]",͠
